"School Name","Education Agency","School Location","City","State","Zip","Type of School","School status at time of last report","School Level","County","Grades Offered","Total Students","Full-time-equivalent Classroom Teachers","Student/Teacher Ratio","National School Lunch Program Status","Free and Reduced-price Lunch Eligible Students","Title I Eligible","School-wide Title I","Title I Status","GreatSchools Link","NCES Public School ID","Urban-centric Locale","Magnet School","Charter School","Shared-time School","Virtual School","Reconstituted","Total Students","Prekindergarten Students","Kindergarten Students","Grade 1 Students","Grade 2 Students","Grade 3 Students","Grade 4 Students","Grade 5 Students","Grade 6 Students","Grade 7 Students","Grade 8 Students","Grade 9 Students","Grade 10 Students","Grade 11 Students","Grade 12 Students","High School Students Earning College Credit or CTE Students Beyo","Adult Education Students","Ungraded Students","White, Non-Hispanic Students","Hispanic Students","Black, Non-Hispanic Students","Asian, Non-Hispanic Students","American Indian/Alaska Native Students","Hawaiian Native/Pacific Islander Students","Two or More Races Students","Percent White, Non-Hispanic","Percent Hispanic","Percent Black, Non-Hispanic","Percent Asian, Non-Hispanic","Percent American Indian/Alaska Native","Percent Hawaiian Native/Pacific Islander","Percent Two or More Races","All Female High School","Majority Minority High School","Inner City High School"
"Harvest Park Middle","Pleasanton Unified","4900 Valley Ave.","Pleasanton","CA","94566","Regular School","Open","Middle","Alameda County","6, 7, 8","1189","49.77","23.89","No","80","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/283","060002009289","City, Small","","","","","","1189","","","","","","","","718","794","866","","","","","","0","","996","144","22","1092","2","2","120","41.88","6.06","0.93","45.92","0.08","0.08","5.05","","",""
"Glenmoor Elementary","Fremont Unified","4620 Mattos Dr.","Fremont","CA","94536","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","651","26.00","25.04","No","207","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/78","061440001663","Suburban, Large","","","","","","651","","198","198","190","194","160","186","176","","","","","","","","0","","174","360","26","664","4","12","62","13.36","27.65","2.00","51.00","0.31","0.92","4.76","","",""
"Schafer Park Elementary","Hayward Unified","26268 Flamingo Ave.","Hayward","CA","94544","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","768","30.90","24.85","Yes under Provision 2","519","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/133","061674002130","City, Midsize","","","","","","768","","256","222","202","214","232","194","216","","","","","","","","0","","38","1214","56","132","6","56","34","2.47","79.04","3.65","8.59","0.39","3.65","2.21","","",""
"Leadership Public Schools - Hayward","Hayward Unified","28000 Calaroga Ave.","Hayward","CA","94545","Regular School","Open","High","Alameda County","9, 10, 11, 12","593","22.80","26.01","No","364","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/4625","061674010737","City, Midsize","","Charter school","","","","593","","","","","","","","","","","302","300","288","296","","0","","22","816","40","242","","26","40","1.85","68.80","3.37","20.40","","2.19","3.37","Not all female high school","Majority minority high school","Not inner city high school"
"Lincoln Middle","Alameda Unified","1250 Fernside Blvd.","Alameda","CA","94501","Regular School","Open","Middle","Alameda County","6, 7, 8","873","40.73","21.43","No","150","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/10","060177000049","Suburban, Large","","","","","","873","","","","","","","","596","556","594","","","","","","0","","654","258","58","574","2","14","186","37.46","14.78","3.32","32.88","0.11","0.80","10.65","","",""
"Brenkwitz High","Hayward Unified","22100 Princeton St.","Hayward","CA","94541","Alternative School","Open","High","Alameda County","9, 10, 11, 12","187","14.33","13.05","No","147","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/109","061674002123","City, Midsize","","","","","","187","","","","","","","","","","","0","4","36","334","","0","","30","260","52","14","0","10","8","8.02","69.52","13.90","3.74","0.00","2.67","2.14","Not all female high school","Majority minority high school","Not inner city high school"
"North Oakland Community Charter","Oakland Unified","1000 42nd St.","Oakland","CA","94608","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","226","11.00","20.55","No","97","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/1909","062805008442","City, Large","","Charter school","","","","226","","46","46","48","42","56","56","56","56","46","","","","","","0","","130","56","126","44","","","96","28.76","12.39","27.88","9.73","","","21.24","","",""
"Eden Gardens Elementary","Hayward Unified","2184 Thayer Ave.","Hayward","CA","94545","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","587","24.00","24.46","No","331","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/116","061674002110","City, Midsize","","","","","","587","","212","168","140","144","158","190","162","","","","","","","","0","","60","560","102","288","2","56","106","5.11","47.70","8.69","24.53","0.17","4.77","9.03","","",""
"Tom Kitayama Elementary","New Haven Unified","1959 Sunsprite Dr.","Union City","CA","94587","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","811","32.00","25.34","No","358","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/169","062691007480","Suburban, Large","","","","","","811","","278","262","274","306","238","264","","","","","","","","","0","","122","634","60","676","4","18","108","7.52","39.09","3.70","41.68","0.25","1.11","6.66","","",""
"Young Adult Program","Fremont Unified","4700 Calaveras Ave.","Fremont","CA","94538","Special Education School","Open","High","Alameda County","9, 10, 11, 12","40","","","No","3","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/1094","061440013083","Suburban, Large","","","","","","40","","","","","","","","","","","0","0","0","0","","0","80","22","12","4","38","0","0","4","27.50","15.00","5.00","47.50","0.00","0.00","5.00","Not all female high school","Majority minority high school","Not inner city high school"
"Glassbrook Elementary","Hayward Unified","975 Schafer Rd.","Hayward","CA","94544","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","537","22.00","24.41","Yes under Provision 2","386","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/119","061674002114","City, Midsize","","","","","","537","","178","164","126","178","130","136","162","","","","","","","","0","","16","944","32","52","2","18","10","1.49","87.90","2.98","4.84","0.19","1.68","0.93","","",""
"James Logan High","New Haven Unified","1800 H St.","Union City","CA","94587","Regular School","Open","High","Alameda County","9, 10, 11, 12","3735","153.38","24.35","No","1734","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/170","062691004072","Suburban, Large","","","","","","3735","","","","","","","","","","","1872","1902","1744","1952","","0","","420","2586","446","3494","16","180","328","5.62","34.62","5.97","46.77","0.21","2.41","4.39","Not all female high school","Majority minority high school","Not inner city high school"
"Global Family","Oakland Unified","2035 40th Ave.","Oakland","CA","94601","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","442","17.00","26.00","Yes under Community Eligibility Option (CEO)","428","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7517","062805012053","City, Large","","","","","","442","","188","138","140","134","148","136","","","","","","","","","0","","2","830","26","10","","","16","0.23","93.89","2.94","1.13","","","1.81","","",""
"Royal Sunset (Continuation)","San Lorenzo Unified","20450 Royal Ave.","Hayward","CA","94541","Alternative School","Open","High","Alameda County","7, 8, 9, 10, 11, 12","137","8.23","16.65","No","86","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/305","063471005858","Suburban, Large","","","","","","137","","","","","","","","","0","0","0","4","70","200","","0","","22","184","54","8","2","2","2","8.03","67.15","19.71","2.92","0.73","0.73","0.73","Not all female high school","Majority minority high school","Not inner city high school"
"Warm Springs Elementary","Fremont Unified","47370 Warm Springs Blvd.","Fremont","CA","94539","Regular School","Open","Primary","Alameda County","3, 4, 5, 6","1073","37.00","29.00","No","52","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/104","061440001690","Suburban, Large","","","","","","1073","","","","","508","528","538","572","","","","","","","","0","","102","64","22","1900","4","","54","4.75","2.98","1.03","88.54","0.19","","2.52","","",""
"Gateway to College at Laney College","Oakland Unified","900 Fallon St.","Oakland","CA","94607","Alternative School","Open","High","Alameda County","9, 10, 11, 12","90","","","Yes under Community Eligibility Option (CEO)","43","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/5123","062805012506","City, Large","","","","","","90","","","","","","","","","","","0","4","10","166","","0","","28","72","58","10","2","2","8","15.56","40.00","32.22","5.56","1.11","1.11","4.44","Not all female high school","Majority minority high school","Inner city high school"
"Hesperian Elementary","San Lorenzo Unified","620 Drew St.","San Lorenzo","CA","94580","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","589","26.00","22.65","No","465","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/313","063471005852","Suburban, Large","","","","","","589","","196","162","210","214","216","180","","","","","","","","","0","","58","732","160","196","","8","24","4.92","62.14","13.58","16.64","","0.68","2.04","","",""
"Newark Memorial High","Newark Unified","39375 Cedar Blvd.","Newark","CA","94560","Regular School","Open","High","Alameda County","9, 10, 11, 12","1789","60.79","29.43","No","802","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/180","062706004085","Suburban, Large","","","","Virtual school","","1789","","","","","","","","","","","980","918","868","798","","0","14","532","1868","162","836","6","58","116","14.87","52.21","4.53","23.37","0.17","1.62","3.24","Not all female high school","Majority minority high school","Not inner city high school"
"Birch Grove Primary","Newark Unified","6071 Smith Ave.","Newark","CA","94560","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","408","12.90","31.63","No","141","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/174","062706004079","Suburban, Large","","","","","","408","","292","288","236","0","0","0","0","","","","","","","","0","","120","262","28","316","4","14","72","14.71","32.11","3.43","38.73","0.49","1.72","8.82","","",""
"Tri-Valley ROP","Tri-Valley ROP","1040 Florence Rd.","Livermore","CA","94551","Career and Technical School","Open","High","Alameda County","9, 10, 11, 12","0","","","","","Not Title I Eligible School","","","http://www.greatschools.net/modperl/browse_school/CA/5029","060008410731","Suburban, Small","","","","","","0","","","","","","","","","","","0","0","0","0","","0","","0","0","0","0","0","0","0","","","","","","","","Insufficient data","Insufficient data","Not inner city high school"
"EnCompass Academy Elementary","Oakland Unified","1025 81st Ave.","Oakland","CA","94621","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","326","11.30","28.85","No","307","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/3927","062805010686","City, Large","","","","","","326","","128","106","106","88","110","114","","","","","","","","","0","","20","472","110","20","2","6","22","3.07","72.39","16.87","3.07","0.31","0.92","3.37","","",""
"Dayton Elementary","San Lorenzo Unified","1500 Dayton Ave.","San Leandro","CA","94579","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","472","19.00","24.84","No","295","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/309","063471007484","City, Small","","","","","","472","","182","128","152","164","164","154","","","","","","","","","0","","78","332","38","428","4","10","54","8.26","35.17","4.03","45.34","0.42","1.06","5.72","","",""
"Village High","Pleasanton Unified","4645 Bernal Ave.","Pleasanton","CA","94566","Alternative School","Open","High","Alameda County","9, 10, 11, 12","109","12.30","8.86","No","29","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/288","060002009280","City, Small","","","","Virtual school","","109","","","","","","","","","","","8","14","66","130","","0","","142","38","4","18","2","4","10","65.14","17.43","1.83","8.26","0.92","1.83","4.59","Not all female high school","Majority white high school","Not inner city high school"
